age,sex,height,weight,activity_level,total_steps,calories_burned,daily_calories_needed,fitness_score,prediction
58,Female,179,50,Moderate,7211,361,1810,96,Yes
24,Female,156,63,Moderate,6836,342,2052,46,No
43,Male,166,98,Sedentary,2878,144,2169,81,Yes
40,Female,168,67,Moderate,8422,421,2106,23,No
30,Male,163,79,Moderate,8100,405,2579,9,No
35,Female,161,70,Active,11490,574,2364,61,No
37,Male,188,67,Moderate,7012,351,2581,55,No
46,Male,188,70,Sedentary,1467,73,1980,13,No
51,Female,159,52,Sedentary,2508,125,1317,82,Yes
38,Female,185,77,Moderate,8327,416,2442,49,No
55,Female,178,77,Active,10180,509,2495,43,No
60,Female,163,91,Very Active,12173,609,2789,13,No
20,Female,162,61,Light,3546,177,1872,87,Yes
50,Female,164,93,Sedentary,1960,98,1853,23,No
61,Male,151,92,Light,3540,177,2150,31,No
21,Male,190,84,Active,10526,526,3325,68,No
30,Male,160,71,Light,5795,290,2152,11,No
64,Female,154,61,Light,3595,180,1501,75,Yes
40,Male,166,66,Moderate,8352,418,2329,98,Yes
63,Female,174,91,Light,4245,212,2092,26,No
36,Male,150,73,Light,3224,161,2052,88,Yes
24,Male,162,53,Very Active,12006,600,2712,72,Yes
32,Female,177,89,Moderate,8556,428,2597,73,Yes
41,Male,158,99,Light,3575,179,2444,80,Yes
64,Male,173,77,Very Active,12236,612,2919,21,No
33,Male,168,77,Moderate,6925,346,2573,14,No
39,Female,166,98,Sedentary,2200,110,1994,90,Yes
27,Female,163,97,Sedentary,1195,60,2031,82,Yes
61,Male,185,73,Light,4773,239,2181,19,No
27,Male,184,77,Light,3598,180,2461,74,Yes
22,Female,183,57,Very Active,13004,650,2741,28,No
22,Female,150,65,Active,9356,468,2271,58,No
50,Male,150,89,Very Active,12272,614,3007,68,No
49,Male,180,97,Light,4472,224,2551,26,No
64,Female,190,96,Very Active,12764,638,3166,77,Yes
35,Female,162,75,Light,5981,299,1961,34,No
21,Male,188,59,Light,3946,197,2289,89,Yes
28,Male,164,52,Light,3192,160,1939,70,Yes
57,Female,165,76,Active,9111,456,2321,22,No
20,Female,174,54,Sedentary,2842,142,1640,84,Yes
19,Female,184,78,Active,11394,570,2888,94,Yes
31,Female,161,90,Light,3152,158,2187,95,Yes
57,Male,157,89,Active,9983,499,2745,2,No
